Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,Time,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,HTWinner,HTWinningMargin,FTWinner,FTWinningMargin,TotalMatchPoints,TotalMatchGoals
2012,11,8/06/2012,13.1,8.1,0,Docklands,7:50 PM,"47,632",Carlton,4.4,6.6,9.1,11.19,85,Geelong Cats,2.2,5.7,10.1,14.13,97,Carlton,5,Geelong,12,182,25
2012,11,9/06/2012,11.9,9,6.2,M.C.G.,1:40 PM,"43,801",Richmond,5.2,6.3,8.8,9.12,66,Fremantle,4.1,7.3,9.6,12.6,78,Fremantle,6,Fremantle,12,144,21
2012,11,9/06/2012,20.7,14.7,0.4,Carrara,4:40 PM,"12,534",Gold Coast Suns,1.3,3.4,6.6,7.7,49,St Kilda,4.3,10.6,15.12,21.18,144,St Kilda,44,St Kilda,95,193,28
2012,11,9/06/2012,11.9,9,6.2,Docklands,7:40 PM,"42,785",Essendon,1.5,1.11,2.15,11.16,82,Sydney Swans,5.3,8.6,11.8,13.8,86,Sydney,37,Sydney,4,168,24
2012,11,10/06/2012,14.6,2.2,0,Football Park,4:10 PM,"26,638",Port Adelaide,3.3,4.7,5.7,9.8,62,Hawthorn,7.4,9.8,12.11,16.12,108,Hawthorn,31,Hawthorn,46,170,25
2012,11,11/06/2012,12.7,1.3,0,M.C.G.,3:15 PM,"64,250",Melbourne,0.4,3.4,7.7,13.9,87,Collingwood,6.3,8.9,10.15,19.15,129,Collingwood,35,Collingwood,42,216,32
2012,12,14/06/2012,18.2,9.5,0.4,Subiaco,5:40 PM,"34,224",West Coast Eagles,3.3,5.12,6.17,10.19,79,Carlton,2.3,4.4,8.8,10.9,69,West Coast,14,West Coast,10,148,20
2012,12,15/06/2012,15.4,9,0,Football Park,8:10 PM,"36,394",Adelaide Crows,5.3,11.6,16.7,17.13,115,St Kilda,3.1,8.8,10.12,16.15,111,Adelaide,16,Adelaide,4,226,33
2012,12,16/06/2012,13.3,8.8,0,Sydney Showground,2:10 PM,"7,538",GWS Giants,2,5.1,8.1,12.2,74,Richmond,4.2,6.7,9.14,11.2,86,Richmond,12,Richmond,12,160,23
2012,12,16/06/2012,22.9,11.7,0,Carrara,7:40 PM,"10,170",Gold Coast Suns,1.3,4.3,7.5,12.8,80,North Melbourne,1.5,3.12,7.17,11.21,87,North Melbourne,3,North Melbourne,7,167,23
2012,12,17/06/2012,15.3,9.7,1,M.C.G.,1:10 PM,"35,492",Hawthorn,4.6,8.12,12.19,19.21,135,Brisbane Lions,6.1,7.2,8.2,11.4,70,Hawthorn,16,Hawthorn,65,205,30
2012,12,17/06/2012,15.3,9.7,1,Docklands,4:40 PM,"16,036",Western Bulldogs,3.6,5.1,9.16,13.17,95,Port Adelaide,1,4.4,7.6,8.9,57,Western Bulldogs,3,Western Bulldogs,38,152,21
2012,13,22/06/2012,18.7,10,0,S.C.G.,7:50 PM,"27,400",Sydney Swans,7,8.2,10.6,12.8,80,Geelong Cats,1.1,3.3,6.6,11.8,74,Sydney,29,Sydney,6,154,23
2012,13,23/06/2012,13.7,4,3.2,Docklands,1:40 PM,"20,146",Western Bulldogs,2.3,5.6,5.1,7.14,56,Brisbane Lions,6.1,8.5,12.5,18.6,114,Brisbane Lions,17,Brisbane Lions,58,170,25
2012,13,23/06/2012,13.7,4,3.2,M.C.G.,4:40 PM,"62,957",Collingwood,3.5,6.6,11.1,12.13,85,West Coast Eagles,2.3,7.6,9.7,12.1,82,West Coast,6,Collingwood,3,167,24
2012,13,23/06/2012,17.6,2.2,0,Subiaco,5:40 PM,"34,567",Fremantle,6.1,8.2,14.4,14.5,89,Essendon,5.2,10.4,13.5,17.11,113,Essendon,14,Essendon,24,202,31
2012,13,24/06/2012,15.7,7.1,0,M.C.G.,3:15 PM,"20,070",Melbourne,6.1,11.4,18.8,20.15,135,GWS Giants,5.1,6.2,6.2,9.3,57,Melbourne,32,Melbourne,78,192,29
2012,13,24/06/2012,15.7,7.1,0,Docklands,4:40 PM,"18,866",North Melbourne,6.6,10.1,13.14,17.19,121,Adelaide Crows,3.2,4.5,9.8,13.11,89,North Melbourne,32,North Melbourne,32,210,30
2012,14,29/06/2012,14.4,9.9,0,M.C.G.,7:50 PM,"65,047",Carlton,3.2,6.2,7.6,10.1,70,Hawthorn,7.4,10.7,16.1,18.12,120,Hawthorn,29,Hawthorn,50,190,28
2012,14,30/06/2012,12.2,6.6,2.2,M.C.G.,1:45 PM,"44,891",Collingwood,3.2,6.7,10.13,15.17,107,Fremantle,0.2,2.6,6.6,12.6,78,Collingwood,25,Collingwood,29,185,27
2012,14,30/06/2012,13.5,8.6,4.4,Football Park,1:40 PM,"33,780",Adelaide Crows,3,8.1,11.2,17.4,106,Richmond,8.3,10.4,11.7,13.9,87,Richmond,15,Adelaide,19,193,30
2012,14,30/06/2012,20.2,5.4,0,Subiaco,2:40 PM,"34,592",West Coast Eagles,8.3,11.5,17.11,25.16,166,Gold Coast Suns,2.3,4.8,5.9,5.1,40,West Coast,39,West Coast,126,206,30
2012,14,30/06/2012,12.2,6.6,2.2,Docklands,7:40 PM,"40,824",Essendon,7.5,12.7,15.1,21.14,140,Western Bulldogs,1.2,3.5,6.7,8.8,56,Essendon,56,Essendon,84,196,29
